,date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate,growth_rate,growth_accel,growth_accel_rate
250,2020-06-08,BA,Guaratinga,city,3,0,True,20843.0,2911808,14.393320000000001,0.0,0.08007466991297531,0.0065138851016351305,0.00045184657374680397
251,2020-06-08,BA,Iaçu,city,25,3,True,24305.0,2911907,102.85949000000001,0.12,0.9578130141960394,0.04002515662310929,-0.0006263505377363343
252,2020-06-08,BA,Ibicaraí,city,28,0,True,21689.0,2912103,129.0977,0.0,0.7538200668303182,0.030882613937367104,0.0017320475044668975
253,2020-06-08,BA,Ibicuí,city,5,0,True,16198.0,2912301,30.868009999999998,0.0,0.7864659837460047,0.10425544429969616,-0.018963418981460867
254,2020-06-08,BA,Ibipeba,city,5,0,True,18211.0,2912400,27.45593,0.0,0.20068311765199276,-0.00995498533848758,-0.013629087813616516
255,2020-06-08,BA,Ibipitanga,city,5,0,True,14902.0,2912509,33.55254,0.0,0.2539618220417368,0.06371203943629715,0.013513599150893308
256,2020-06-08,BA,Ibirapitanga,city,17,1,True,23375.0,2912707,72.72726999999999,0.0588,0.4705389108517255,0.004391897166042041,-0.0009445022654137647
257,2020-06-08,BA,Ibirapuã,city,23,1,True,8637.0,2912806,266.29617,0.0435,1.4234853446499822,0.08575744639406327,-0.0020057152567939914
258,2020-06-08,BA,Ibirataia,city,27,2,True,15312.0,2912905,176.33229,0.0741,0.5839032429030496,0.019991288240145313,0.00017380571360836028
259,2020-06-08,BA,Ibitiara,city,3,1,True,16339.0,2913002,18.360979999999998,0.3333,0.21275613883512495,0.023456002196480384,0.0015683180203593836
260,2020-06-08,BA,Ibotirama,city,1,0,True,26927.0,2913200,3.71374,0.0,-0.010779478753077169,-0.0025187776352290784,-0.00019788374936433687
261,2020-06-08,BA,Igrapiúna,city,6,0,True,13226.0,2913457,45.365190000000005,0.0,0.22415566870518516,0.008178094711171773,-0.0008082035607694505
262,2020-06-08,BA,Iguaí,city,8,0,True,26916.0,2913507,29.7221,0.0,0.6681339833685864,0.0578492750510154,0.0007043257612946266
263,2020-06-08,BA,Ilhéus,city,715,36,True,162327.0,2913606,440.46893,0.0503,12.509218435218173,0.10650467071845439,-0.027329796354847172
264,2020-06-08,BA,Inhambupe,city,3,0,True,39926.0,2913705,7.5139,0.0,0.1723731383372594,0.0011416809223866546,-0.004579121175831808
265,2020-06-08,BA,Ipecaetá,city,3,0,True,14487.0,2913804,20.70822,0.0,0.09349682452159103,0.0038417849641349633,-0.000350512692059328
266,2020-06-08,BA,Ipiaú,city,337,7,True,45873.0,2913903,734.63693,0.0208,7.476489112464356,0.2521710870118853,0.007416980342435055
267,2020-06-08,BA,Ipirá,city,19,1,True,59595.0,2914000,31.881870000000003,0.0526,0.46735986709954125,0.012793669126704066,-0.001245665106853063
268,2020-06-08,BA,Iramaia,city,1,0,True,8537.0,2914307,11.71372,0.0,0.0,0.0,0.0
269,2020-06-08,BA,Irará,city,7,0,True,29034.0,2914505,24.10966,0.0,0.24953583779626987,0.014852063788119681,0.0016992561545670676
270,2020-06-08,BA,Irecê,city,21,0,True,72967.0,2914604,28.78013,0.0,0.5470977760517629,0.019036387027478854,-0.0005467922661549385
